"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 02 18:24:44 GMT 2023","Sun Apr 02 18:24:45 GMT 2023","967","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 02 18:24:46 GMT 2023","Sun Apr 02 18:24:47 GMT 2023","754","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 02 18:24:49 GMT 2023","Sun Apr 02 18:24:49 GMT 2023","762","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 02 18:24:51 GMT 2023","Sun Apr 02 18:24:53 GMT 2023","2352","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
