"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 17:28:35 GMT 2023","Sun Apr 16 17:28:36 GMT 2023","961","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 16 17:28:58 GMT 2023","Sun Apr 16 17:28:59 GMT 2023","798","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 16 17:29:29 GMT 2023","Sun Apr 16 17:29:30 GMT 2023","822","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Sun Apr 16 17:28:45 GMT 2023","Sun Apr 16 17:28:46 GMT 2023","994","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 16 17:29:02 GMT 2023","Sun Apr 16 17:29:02 GMT 2023","385","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 16 17:29:32 GMT 2023","Sun Apr 16 17:29:34 GMT 2023","1553","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Sun Apr 16 17:29:22 GMT 2023","Sun Apr 16 17:29:24 GMT 2023","2022","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevének sikeres megváltoztatatása.",""
"passed","Sun Apr 16 17:30:47 GMT 2023","Sun Apr 16 17:30:49 GMT 2023","1764","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikeres létrehozása.",""
"passed","Sun Apr 16 17:28:39 GMT 2023","Sun Apr 16 17:28:40 GMT 2023","913","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 16 17:29:39 GMT 2023","Sun Apr 16 17:29:48 GMT 2023","8410","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres regisztráció user_data.csv fájlból",""
"passed","Sun Apr 16 17:30:51 GMT 2023","Sun Apr 16 17:30:52 GMT 2023","1477","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikertelen létrehozása cikk címének hiánya miatt.",""
"passed","Sun Apr 16 17:28:47 GMT 2023","Sun Apr 16 17:28:57 GMT 2023","10375","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Sun Apr 16 17:29:18 GMT 2023","Sun Apr 16 17:29:19 GMT 2023","997","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevévek sikertelen megváltoztatatása név nem megadása miatt.",""
"passed","Sun Apr 16 17:31:12 GMT 2023","Sun Apr 16 17:31:26 GMT 2023","13397","test","test_automation","TestListAndSaveData","","","Globális hírfolyam cikk címeinek mentése saved_data.tsv fájlba",""
"broken","Sun Apr 16 17:30:54 GMT 2023","Sun Apr 16 17:30:55 GMT 2023","667","test","test_automation","TestWriteAndDeleteArticle","","","Korábban létrehozott cikk sikeres törlése.",""
"passed","Sun Apr 16 17:29:05 GMT 2023","Sun Apr 16 17:29:06 GMT 2023","893","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Sun Apr 16 17:29:26 GMT 2023","Sun Apr 16 17:29:27 GMT 2023","1196","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatásaemail cím mező üresen hagyása miatt.",""
"passed","Sun Apr 16 17:29:49 GMT 2023","Sun Apr 16 17:30:45 GMT 2023","56108","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres cikk hozzáadása article_data.tsv fájlból",""
"passed","Sun Apr 16 17:29:15 GMT 2023","Sun Apr 16 17:29:16 GMT 2023","1124","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikeres megváltoztatatása.",""
"passed","Sun Apr 16 17:30:59 GMT 2023","Sun Apr 16 17:31:11 GMT 2023","12269","test","test_automation","TestListAndSaveData","","","Felhasználó saját cikkjeinek sikeres bejárása",""
"passed","Sun Apr 16 17:29:03 GMT 2023","Sun Apr 16 17:29:04 GMT 2023","893","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 16 17:29:36 GMT 2023","Sun Apr 16 17:29:38 GMT 2023","2358","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Sun Apr 16 17:30:57 GMT 2023","Sun Apr 16 17:30:57 GMT 2023","725","test","test_automation","TestListAndSaveData","","","Népszerű címkék sikeres listázása címkefelhőből",""
"passed","Sun Apr 16 17:28:37 GMT 2023","Sun Apr 16 17:28:38 GMT 2023","932","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 16 17:29:10 GMT 2023","Sun Apr 16 17:29:12 GMT 2023","2027","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikertelen megváltoztatatása profilkép hivatkozásának nem megadása miatt.",""
"passed","Sun Apr 16 17:29:08 GMT 2023","Sun Apr 16 17:29:08 GMT 2023","648","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Sun Apr 16 17:28:41 GMT 2023","Sun Apr 16 17:28:43 GMT 2023","2608","test","test_automation","TestRegistration","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Sun Apr 16 17:29:00 GMT 2023","Sun Apr 16 17:29:01 GMT 2023","773","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
