"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 17:55:43 GMT 2023","Sun Apr 16 17:55:54 GMT 2023","10443","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres regisztráció user_data.csv fájlból",""
"passed","Sun Apr 16 17:55:10 GMT 2023","Sun Apr 16 17:55:12 GMT 2023","2441","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikertelen megváltoztatatása profilkép hivatkozásának nem megadása miatt.",""
"passed","Sun Apr 16 17:55:35 GMT 2023","Sun Apr 16 17:55:37 GMT 2023","1812","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Sun Apr 16 17:57:30 GMT 2023","Sun Apr 16 17:57:31 GMT 2023","1090","test","test_automation","TestListAndSaveData","","","Népszerű címkék sikeres listázása címkefelhőből",""
"passed","Sun Apr 16 17:55:04 GMT 2023","Sun Apr 16 17:55:05 GMT 2023","1032","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Sun Apr 16 17:55:15 GMT 2023","Sun Apr 16 17:55:17 GMT 2023","2314","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikeres megváltoztatatása.",""
"passed","Sun Apr 16 17:54:59 GMT 2023","Sun Apr 16 17:55:00 GMT 2023","590","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 16 17:55:23 GMT 2023","Sun Apr 16 17:55:25 GMT 2023","2192","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevének sikeres megváltoztatatása.",""
"passed","Sun Apr 16 17:55:32 GMT 2023","Sun Apr 16 17:55:33 GMT 2023","938","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Sun Apr 16 17:55:28 GMT 2023","Sun Apr 16 17:55:29 GMT 2023","1506","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatásaemail cím mező üresen hagyása miatt.",""
"passed","Sun Apr 16 17:57:15 GMT 2023","Sun Apr 16 17:57:28 GMT 2023","13321","test","test_automation","TestWriteAndDeleteArticle","","","Korábban létrehozott cikk sikeres törlése.",""
"passed","Sun Apr 16 17:54:31 GMT 2023","Sun Apr 16 17:54:32 GMT 2023","1083","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 16 17:55:01 GMT 2023","Sun Apr 16 17:55:02 GMT 2023","1029","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 16 17:54:45 GMT 2023","Sun Apr 16 17:54:55 GMT 2023","10471","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Sun Apr 16 17:57:47 GMT 2023","Sun Apr 16 17:58:02 GMT 2023","14578","test","test_automation","TestListAndSaveData","","","Globális hírfolyam cikk címeinek mentése saved_data.tsv fájlba",""
"passed","Sun Apr 16 17:54:33 GMT 2023","Sun Apr 16 17:54:34 GMT 2023","1035","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 16 17:54:42 GMT 2023","Sun Apr 16 17:54:43 GMT 2023","1141","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 16 17:54:35 GMT 2023","Sun Apr 16 17:54:36 GMT 2023","1023","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 16 17:57:10 GMT 2023","Sun Apr 16 17:57:12 GMT 2023","1823","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikertelen létrehozása cikk címének hiánya miatt.",""
"passed","Sun Apr 16 17:55:06 GMT 2023","Sun Apr 16 17:55:07 GMT 2023","833","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Sun Apr 16 17:54:56 GMT 2023","Sun Apr 16 17:54:57 GMT 2023","404","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 16 17:54:58 GMT 2023","Sun Apr 16 17:54:58 GMT 2023","351","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Sun Apr 16 17:55:40 GMT 2023","Sun Apr 16 17:55:42 GMT 2023","2684","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Sun Apr 16 17:55:55 GMT 2023","Sun Apr 16 17:57:03 GMT 2023","67822","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres cikk hozzáadása article_data.tsv fájlból",""
