"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 02 19:00:27 GMT 2023","Sun Apr 02 19:00:27 GMT 2023","45","test","test_automation","TestHomePage","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Sun Apr 02 19:00:35 GMT 2023","Sun Apr 02 19:00:36 GMT 2023","738","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Sun Apr 02 19:00:17 GMT 2023","Sun Apr 02 19:00:18 GMT 2023","730","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 02 19:00:21 GMT 2023","Sun Apr 02 19:00:24 GMT 2023","2515","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Sun Apr 02 19:00:15 GMT 2023","Sun Apr 02 19:00:16 GMT 2023","1114","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 02 19:00:33 GMT 2023","Sun Apr 02 19:00:34 GMT 2023","750","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 02 19:00:28 GMT 2023","Sun Apr 02 19:00:28 GMT 2023","197","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 02 19:00:25 GMT 2023","Sun Apr 02 19:00:26 GMT 2023","807","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 02 19:00:19 GMT 2023","Sun Apr 02 19:00:20 GMT 2023","750","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 02 19:00:31 GMT 2023","Sun Apr 02 19:00:32 GMT 2023","749","test","test_automation","TestSignInPage","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 02 19:00:29 GMT 2023","Sun Apr 02 19:00:30 GMT 2023","181","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
