"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 18:55:46 GMT 2023","Sun Apr 09 18:55:46 GMT 2023","228","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Sun Apr 09 18:55:48 GMT 2023","Sun Apr 09 18:55:48 GMT 2023","336","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 09 18:55:43 GMT 2023","Sun Apr 09 18:55:43 GMT 2023","221","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Sun Apr 09 18:55:37 GMT 2023","Sun Apr 09 18:55:39 GMT 2023","2649","test","test_automation","TestRegistration","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Sun Apr 09 18:55:34 GMT 2023","Sun Apr 09 18:55:35 GMT 2023","858","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 09 18:55:49 GMT 2023","Sun Apr 09 18:55:50 GMT 2023","831","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 09 18:55:44 GMT 2023","Sun Apr 09 18:55:45 GMT 2023","292","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 09 18:55:57 GMT 2023","Sun Apr 09 18:56:00 GMT 2023","3181","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikertelen megváltoztatatása profilkép hivatkozásánaknem megadása miatt.",""
"passed","Sun Apr 09 18:56:16 GMT 2023","Sun Apr 09 18:56:16 GMT 2023","811","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Sun Apr 09 18:56:03 GMT 2023","Sun Apr 09 18:56:05 GMT 2023","1743","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikeres megváltoztatatása.",""
"broken","Sun Apr 09 18:56:27 GMT 2023","Sun Apr 09 18:56:27 GMT 2023","0","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres regisztráció user_data.csv fájlból",""
"passed","Sun Apr 09 18:56:24 GMT 2023","Sun Apr 09 18:56:26 GMT 2023","2432","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Sun Apr 09 18:56:11 GMT 2023","Sun Apr 09 18:56:13 GMT 2023","1180","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevének sikeres megváltoztatatása.",""
"passed","Sun Apr 09 18:56:19 GMT 2023","Sun Apr 09 18:56:21 GMT 2023","1697","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Sun Apr 09 18:56:07 GMT 2023","Sun Apr 09 18:56:09 GMT 2023","1222","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevévek sikertelen megváltoztatatása név nem megadása miatt.",""
"passed","Sun Apr 09 18:55:32 GMT 2023","Sun Apr 09 18:55:33 GMT 2023","804","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 09 18:55:51 GMT 2023","Sun Apr 09 18:55:52 GMT 2023","889","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Sun Apr 09 18:55:41 GMT 2023","Sun Apr 09 18:55:42 GMT 2023","910","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 09 18:55:30 GMT 2023","Sun Apr 09 18:55:31 GMT 2023","878","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 09 18:55:54 GMT 2023","Sun Apr 09 18:55:55 GMT 2023","797","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
