"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 15:20:26 GMT 2023","Mon Apr 10 15:20:28 GMT 2023","1761","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatásaemail cím mező üresen hagyása miatt.",""
"passed","Mon Apr 10 15:21:59 GMT 2023","Mon Apr 10 15:22:01 GMT 2023","1918","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikeres létrehozása.",""
"passed","Mon Apr 10 15:20:08 GMT 2023","Mon Apr 10 15:20:11 GMT 2023","3178","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikertelen megváltoztatatása profilkép hivatkozásánaknem megadása miatt.",""
"passed","Mon Apr 10 15:19:54 GMT 2023","Mon Apr 10 15:19:54 GMT 2023","212","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Mon Apr 10 15:19:57 GMT 2023","Mon Apr 10 15:19:57 GMT 2023","224","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Mon Apr 10 15:19:43 GMT 2023","Mon Apr 10 15:19:44 GMT 2023","806","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Mon Apr 10 15:19:41 GMT 2023","Mon Apr 10 15:19:41 GMT 2023","848","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Mon Apr 10 15:22:21 GMT 2023","Mon Apr 10 15:22:24 GMT 2023","3254","test","test_automation","TestListAndSaveData","","","Globális hírfolyam cikk címeinek mentése saved_data.tsv fájlba",""
"passed","Mon Apr 10 15:20:31 GMT 2023","Mon Apr 10 15:20:32 GMT 2023","797","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Mon Apr 10 15:20:05 GMT 2023","Mon Apr 10 15:20:05 GMT 2023","798","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Mon Apr 10 15:19:47 GMT 2023","Mon Apr 10 15:19:50 GMT 2023","2582","test","test_automation","TestRegistration","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Mon Apr 10 15:19:45 GMT 2023","Mon Apr 10 15:19:46 GMT 2023","817","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Mon Apr 10 15:22:08 GMT 2023","Mon Apr 10 15:22:12 GMT 2023","4175","test","test_automation","TestWriteAndDeleteArticle","","","Korábban létrehozott cikk sikeres törlése.",""
"passed","Mon Apr 10 15:20:22 GMT 2023","Mon Apr 10 15:20:24 GMT 2023","2090","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevének sikeres megváltoztatatása.",""
"passed","Mon Apr 10 15:22:14 GMT 2023","Mon Apr 10 15:22:14 GMT 2023","15","test","test_automation","TestListAndSaveData","","","Népszerű címkék sikeres listázása címkefelhőből",""
"passed","Mon Apr 10 15:20:00 GMT 2023","Mon Apr 10 15:20:01 GMT 2023","822","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Mon Apr 10 15:20:02 GMT 2023","Mon Apr 10 15:20:03 GMT 2023","915","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Mon Apr 10 15:22:17 GMT 2023","Mon Apr 10 15:22:19 GMT 2023","1758","test","test_automation","TestListAndSaveData","","","Felhasználó saját cikkjeinek sikeres bejárása",""
"passed","Mon Apr 10 15:20:42 GMT 2023","Mon Apr 10 15:20:52 GMT 2023","9681","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres regisztráció user_data.csv fájlból",""
"passed","Mon Apr 10 15:22:04 GMT 2023","Mon Apr 10 15:22:05 GMT 2023","1611","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikertelen létrehozása cikk címének hiánya miatt.",""
"passed","Mon Apr 10 15:19:55 GMT 2023","Mon Apr 10 15:19:56 GMT 2023","268","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Mon Apr 10 15:20:53 GMT 2023","Mon Apr 10 15:21:57 GMT 2023","63161","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres cikk hozzáadása article_data.tsv fájlból",""
"passed","Mon Apr 10 15:19:58 GMT 2023","Mon Apr 10 15:19:59 GMT 2023","324","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Mon Apr 10 15:20:39 GMT 2023","Mon Apr 10 15:20:41 GMT 2023","2398","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Mon Apr 10 15:20:17 GMT 2023","Mon Apr 10 15:20:19 GMT 2023","1190","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevévek sikertelen megváltoztatatása név nem megadása miatt.",""
"passed","Mon Apr 10 15:20:34 GMT 2023","Mon Apr 10 15:20:36 GMT 2023","1767","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Mon Apr 10 15:20:13 GMT 2023","Mon Apr 10 15:20:15 GMT 2023","1655","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikeres megváltoztatatása.",""
"passed","Mon Apr 10 15:19:51 GMT 2023","Mon Apr 10 15:19:52 GMT 2023","901","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
