"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 02 19:25:12 GMT 2023","Sun Apr 02 19:25:12 GMT 2023","247","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Sun Apr 02 19:24:57 GMT 2023","Sun Apr 02 19:24:58 GMT 2023","880","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 02 19:25:02 GMT 2023","Sun Apr 02 19:25:05 GMT 2023","2741","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Sun Apr 02 19:25:06 GMT 2023","Sun Apr 02 19:25:07 GMT 2023","971","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 02 19:25:08 GMT 2023","Sun Apr 02 19:25:09 GMT 2023","233","test","test_automation","TestHomePageBeforeLogIn","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"broken","Sun Apr 02 19:25:20 GMT 2023","Sun Apr 02 19:25:20 GMT 2023","1","test","test_automation","TestHomePageAfterLogIn","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Sun Apr 02 19:25:10 GMT 2023","Sun Apr 02 19:25:10 GMT 2023","278","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 02 19:25:13 GMT 2023","Sun Apr 02 19:25:13 GMT 2023","359","test","test_automation","TestSignInPage","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 02 19:24:55 GMT 2023","Sun Apr 02 19:24:56 GMT 2023","866","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 02 19:25:17 GMT 2023","Sun Apr 02 19:25:18 GMT 2023","934","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Sun Apr 02 19:25:15 GMT 2023","Sun Apr 02 19:25:16 GMT 2023","836","test","test_automation","TestSignInPage","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 02 19:25:00 GMT 2023","Sun Apr 02 19:25:00 GMT 2023","856","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
