"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 18:16:23 GMT 2023","Sun Apr 09 18:16:26 GMT 2023","2453","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Sun Apr 09 18:15:43 GMT 2023","Sun Apr 09 18:15:44 GMT 2023","253","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Sun Apr 09 18:15:52 GMT 2023","Sun Apr 09 18:15:52 GMT 2023","818","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Sun Apr 09 18:15:45 GMT 2023","Sun Apr 09 18:15:45 GMT 2023","354","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 09 18:15:47 GMT 2023","Sun Apr 09 18:15:48 GMT 2023","856","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 09 18:16:09 GMT 2023","Sun Apr 09 18:16:11 GMT 2023","2141","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevének sikeres megváltoztatatása.",""
"passed","Sun Apr 09 18:16:01 GMT 2023","Sun Apr 09 18:16:03 GMT 2023","1658","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikeres megváltoztatatása.",""
"passed","Sun Apr 09 18:16:05 GMT 2023","Sun Apr 09 18:16:07 GMT 2023","1274","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevévek sikertelen megváltoztatatása név nem megadása miatt.",""
"passed","Sun Apr 09 18:15:33 GMT 2023","Sun Apr 09 18:15:36 GMT 2023","2805","test","test_automation","TestRegistration","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Sun Apr 09 18:16:14 GMT 2023","Sun Apr 09 18:16:15 GMT 2023","805","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Sun Apr 09 18:15:40 GMT 2023","Sun Apr 09 18:15:40 GMT 2023","229","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Sun Apr 09 18:15:42 GMT 2023","Sun Apr 09 18:15:42 GMT 2023","281","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 09 18:15:31 GMT 2023","Sun Apr 09 18:15:32 GMT 2023","845","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 09 18:15:38 GMT 2023","Sun Apr 09 18:15:39 GMT 2023","949","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 09 18:15:55 GMT 2023","Sun Apr 09 18:15:58 GMT 2023","3211","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikertelen megváltoztatatása profilkép hivatkozásánaknem megadása miatt.",""
"passed","Sun Apr 09 18:15:26 GMT 2023","Sun Apr 09 18:15:28 GMT 2023","1179","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 09 18:15:29 GMT 2023","Sun Apr 09 18:15:30 GMT 2023","825","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 09 18:16:18 GMT 2023","Sun Apr 09 18:16:20 GMT 2023","2183","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Sun Apr 09 18:15:49 GMT 2023","Sun Apr 09 18:15:50 GMT 2023","923","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
