"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 14:37:35 GMT 2023","Sun Apr 09 14:37:35 GMT 2023","646","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Sun Apr 09 14:37:12 GMT 2023","Sun Apr 09 14:37:13 GMT 2023","987","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 09 14:37:30 GMT 2023","Sun Apr 09 14:37:31 GMT 2023","764","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Sun Apr 09 14:37:24 GMT 2023","Sun Apr 09 14:37:24 GMT 2023","189","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Sun Apr 09 14:37:32 GMT 2023","Sun Apr 09 14:37:33 GMT 2023","766","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Sun Apr 09 14:37:14 GMT 2023","Sun Apr 09 14:37:15 GMT 2023","748","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 09 14:37:26 GMT 2023","Sun Apr 09 14:37:26 GMT 2023","220","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Sun Apr 09 14:37:27 GMT 2023","Sun Apr 09 14:37:27 GMT 2023","187","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Sun Apr 09 14:37:29 GMT 2023","Sun Apr 09 14:37:29 GMT 2023","266","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Sun Apr 09 14:37:16 GMT 2023","Sun Apr 09 14:37:17 GMT 2023","771","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Sun Apr 09 14:37:22 GMT 2023","Sun Apr 09 14:37:23 GMT 2023","829","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Sun Apr 09 14:37:18 GMT 2023","Sun Apr 09 14:37:21 GMT 2023","2486","test","test_automation","TestRegistration","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
