"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 08:24:06 GMT 2023","Mon Apr 10 08:24:07 GMT 2023","755","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Mon Apr 10 08:24:41 GMT 2023","Mon Apr 10 08:24:43 GMT 2023","2151","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Mon Apr 10 08:23:54 GMT 2023","Mon Apr 10 08:23:57 GMT 2023","2628","test","test_automation","TestRegistration","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
"passed","Mon Apr 10 08:24:02 GMT 2023","Mon Apr 10 08:24:02 GMT 2023","204","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Mon Apr 10 08:24:18 GMT 2023","Mon Apr 10 08:24:20 GMT 2023","1144","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikeres megváltoztatatása.",""
"passed","Mon Apr 10 08:24:14 GMT 2023","Mon Apr 10 08:24:16 GMT 2023","2565","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó fiók profilképének sikertelen megváltoztatatása profilkép hivatkozásánaknem megadása miatt.",""
"passed","Mon Apr 10 08:24:26 GMT 2023","Mon Apr 10 08:24:28 GMT 2023","1965","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevének sikeres megváltoztatatása.",""
"passed","Mon Apr 10 08:23:58 GMT 2023","Mon Apr 10 08:23:59 GMT 2023","822","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Mon Apr 10 08:24:34 GMT 2023","Mon Apr 10 08:24:35 GMT 2023","719","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Mon Apr 10 08:23:47 GMT 2023","Mon Apr 10 08:23:49 GMT 2023","1317","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Mon Apr 10 08:25:45 GMT 2023","Mon Apr 10 08:25:46 GMT 2023","1355","test","test_automation","TestNewArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikertelen létrehozása cikk címének hiánya miatt.",""
"passed","Mon Apr 10 08:23:50 GMT 2023","Mon Apr 10 08:23:51 GMT 2023","737","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Mon Apr 10 08:24:53 GMT 2023","Mon Apr 10 08:25:39 GMT 2023","45939","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres cikk hozzáadása article_data.tsv fájlból",""
"passed","Mon Apr 10 08:24:22 GMT 2023","Mon Apr 10 08:24:23 GMT 2023","1077","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevévek sikertelen megváltoztatatása név nem megadása miatt.",""
"passed","Mon Apr 10 08:24:09 GMT 2023","Mon Apr 10 08:24:09 GMT 2023","788","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Mon Apr 10 08:24:00 GMT 2023","Mon Apr 10 08:24:01 GMT 2023","205","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Mon Apr 10 08:24:03 GMT 2023","Mon Apr 10 08:24:04 GMT 2023","185","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés email cím mező üresen hagyása miatt.",""
"passed","Mon Apr 10 08:24:44 GMT 2023","Mon Apr 10 08:24:52 GMT 2023","7586","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres regisztráció user_data.csv fájlból",""
"passed","Mon Apr 10 08:24:37 GMT 2023","Mon Apr 10 08:24:38 GMT 2023","1026","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Mon Apr 10 08:25:41 GMT 2023","Mon Apr 10 08:25:43 GMT 2023","1612","test","test_automation","TestNewArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikeres létrehozása.",""
"passed","Mon Apr 10 08:24:05 GMT 2023","Mon Apr 10 08:24:05 GMT 2023","258","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Mon Apr 10 08:23:52 GMT 2023","Mon Apr 10 08:23:53 GMT 2023","752","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Mon Apr 10 08:24:11 GMT 2023","Mon Apr 10 08:24:11 GMT 2023","674","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Mon Apr 10 08:24:30 GMT 2023","Mon Apr 10 08:24:31 GMT 2023","1421","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatásaemail cím mező üresen hagyása miatt.",""
