"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 02 17:13:15 GMT 2023","Sun Apr 02 17:13:16 GMT 2023","838","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"failed","Sun Apr 02 17:13:13 GMT 2023","Sun Apr 02 17:13:13 GMT 2023","839","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Sun Apr 02 17:13:09 GMT 2023","Sun Apr 02 17:13:11 GMT 2023","1390","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Sun Apr 02 17:13:17 GMT 2023","Sun Apr 02 17:13:20 GMT 2023","2704","test","test_automation","TestSignUpPage","","","Új felhasználó fiók sikeres létrehozása megfelelő adatok megadásával.",""
